DATE,VALUE
1/1/59,309.9
4/1/59,315.9
7/1/59,321.1
10/1/59,323.2
1/1/60,326.7
4/1/60,332.6
7/1/60,332.5
10/1/60,334.4
1/1/61,335
4/1/61,339.9
7/1/61,342.9
10/1/61,350.1
1/1/62,355.4
4/1/62,361
7/1/62,364.9
10/1/62,371.1
1/1/63,374.7
4/1/63,378.8
7/1/63,385.8
10/1/63,390.5
1/1/64,400.1
4/1/64,408.1
7/1/64,417
10/1/64,419.6
1/1/65,430.3
4/1/65,437.2
7/1/65,446.4
10/1/65,460.4
1/1/66,470.8
4/1/66,475.9
7/1/66,485
10/1/66,490.8
1/1/67,495.1
4/1/67,504.2
7/1/67,511.4
10/1/67,518.9
1/1/68,536.9
4/1/68,550.6
7/1/68,566.7
10/1/68,575.6
1/1/69,587.8
4/1/69,599.2
7/1/69,609.5
10/1/69,621.5
1/1/70,632.6
4/1/70,642.5
7/1/70,654.5
10/1/70,661.2
1/1/71,680.2
4/1/71,694.3
7/1/71,706.7
10/1/71,722.9
1/1/72,740.1
4/1/72,758.6
7/1/72,777.1
10/1/72,801.9
1/1/73,826.4
4/1/73,842
7/1/73,860.5
10/1/73,875.6
1/1/74,893.8
4/1/74,922.3
7/1/74,951.1
10/1/74,960.9
1/1/75,987.1
4/1/75,1015.8
7/1/75,1049.6
10/1/75,1078.5
1/1/76,1112.3
4/1/76,1131.9
7/1/76,1161.3
10/1/76,1195.1
1/1/77,1230.6
4/1/77,1258.5
7/1/77,1289.7
10/1/77,1327.9
1/1/78,1357.8
4/1/78,1415.3
7/1/78,1446.2
10/1/78,1485.4
1/1/79,1521
4/1/79,1561.5
7/1/79,1616
10/1/79,1659.5
1/1/80,1706.5
4/1/80,1708.9
7/1/80,1767.7
10/1/80,1835.4
1/1/81,1890.7
4/1/81,1921.9
7/1/81,1961.2
10/1/81,1976.2
1/1/82,2014.4
4/1/82,2041.1
7/1/82,2089.2
10/1/82,2150.9
1/1/83,2190.6
4/1/83,2254.5
7/1/83,2324.3
10/1/83,2376.7
1/1/84,2422.8
4/1/84,2481.2
7/1/84,2519.7
10/1/84,2568.9
1/1/85,2643.9
4/1/85,2691.2
7/1/85,2764.7
10/1/85,2790.9
1/1/86,2834.7
4/1/86,2863
7/1/86,2929.7
10/1/86,2966.1
1/1/87,2998.3
4/1/87,3068.8
7/1/87,3133.5
10/1/87,3167.6
1/1/88,3249
4/1/88,3309
7/1/88,3378.3
10/1/88,3451.2
1/1/89,3506.1
4/1/89,3569.5
7/1/89,3625.5
10/1/89,3670.1
1/1/90,3754.5
4/1/90,3800.2
7/1/90,3863.4
10/1/90,3884.4
1/1/91,3890.2
4/1/91,3943.7
7/1/91,3989.7
10/1/91,4017.1
1/1/92,4117.7
4/1/92,4173.4
7/1/92,4245.4
10/1/92,4326.2
1/1/93,4368.5
4/1/93,4437.5
7/1/93,4506
10/1/93,4572
1/1/94,4640.8
4/1/94,4702.9
7/1/94,4773.1
10/1/94,4847.2
1/1/95,4883.4
4/1/95,4955
7/1/95,5020.5
10/1/95,5077.9
1/1/96,5153.8
4/1/96,5244.2
7/1/96,5298.3
10/1/96,5376.1
1/1/97,5456.7
4/1/97,5495.1
7/1/97,5603.5
10/1/97,5687.6
1/1/98,5745.9
4/1/98,5857.8
7/1/98,5952.8
10/1/98,6055.6
1/1/99,6129
4/1/99,6253
7/1/99,6357.2
10/1/99,6488.9
1/1/00,6642.7
4/1/00,6737.3
7/1/00,6845.2
10/1/00,6944.4
1/1/01,7020.4
4/1/01,7072.1
7/1/01,7103.4
10/1/01,7216.6
1/1/02,7251.4
4/1/02,7344.5
7/1/02,7433.1
10/1/02,7507.2
1/1/03,7593.5
4/1/03,7684.6
7/1/03,7845.6
10/1/03,7938.4
1/1/04,8076.8
4/1/04,8186.4
7/1/04,8312.7
10/1/04,8464.3
1/1/05,8573.1
4/1/05,8723.9
7/1/05,8888
10/1/05,8991.4
1/1/06,9134.3
4/1/06,9253.7
7/1/06,9374.3
10/1/06,9453.7
1/1/07,9591.8
4/1/07,9700.9
7/1/07,9799.2
10/1/07,9910
1/1/08,9974.4
4/1/08,10095.8
7/1/08,10124.9
10/1/08,9859.6
1/1/09,9770.2
4/1/09,9769.7
7/1/09,9890.8
10/1/09,9957.1
1/1/10,10044.5
4/1/10,10137.7
7/1/10,10233.4
10/1/10,10393.2
1/1/11,10523.5
4/1/11,10651.4
7/1/11,10754.4
10/1/11,10827.9
1/1/12,10959.7
4/1/12,11030.6
7/1/12,11119.7
10/1/12,11222.6
1/1/13,11351.1
4/1/13,11414.3
7/1/13,11518.6
10/1/13,11653.3
1/1/14,11728.5
4/1/14,11870.7
7/1/14,12002
10/1/14,12120.2
1/1/15,12118
