observation_date,WILL5000INDFC,CPIAUCSL,TB3MS,PCECC96
1971-01-01,1.08,39.933,3.84,2968.9
1971-04-01,1.14,40.300,4.25,2996.1
1971-07-01,1.11,40.700,5.01,3020.0
1971-10-01,1.11,41.000,4.23,3070.2
1972-01-01,1.24,41.333,3.44,3110.8
1972-04-01,1.28,41.600,3.77,3170.2
1972-07-01,1.29,41.933,4.22,3219.1
1972-10-01,1.36,42.367,4.86,3294.6
1973-01-01,1.31,43.033,5.70,3354.8
1973-04-01,1.20,43.933,6.60,3353.4
1973-07-01,1.24,44.800,8.32,3365.3
1973-10-01,1.18,45.933,7.50,3355.5
1974-01-01,1.13,47.300,7.62,3326.2
1974-04-01,1.02,48.567,8.15,3337.9
1974-07-01,0.83,49.933,8.19,3351.6
1974-10-01,0.84,51.467,7.36,3302.5
1975-01-01,0.98,52.567,5.75,3330.1
1975-04-01,1.12,53.200,5.39,3385.7
1975-07-01,1.08,54.267,6.33,3434.1
1975-10-01,1.12,55.267,5.63,3470.5
1976-01-01,1.28,55.900,4.92,3539.9
1976-04-01,1.30,56.400,5.16,3572.4
1976-07-01,1.34,57.300,5.15,3610.3
1976-10-01,1.36,58.133,4.67,3657.5
1977-01-01,1.35,59.200,4.63,3699.3
1977-04-01,1.36,60.233,4.84,3719.7
1977-07-01,1.37,61.067,5.50,3755.2
1977-10-01,1.35,61.967,6.11,3811.8
1978-01-01,1.31,63.033,6.39,3833.8
1978-04-01,1.47,64.467,6.48,3915.6
1978-07-01,1.59,65.967,7.31,3932.0
1978-10-01,1.48,67.500,8.57,3963.5
1979-01-01,1.59,69.200,9.38,3983.6
1979-04-01,1.68,71.400,9.38,3981.3
1979-07-01,1.83,73.700,9.67,4020.4
1979-10-01,1.88,76.033,11.84,4031.2
1980-01-01,1.96,79.033,13.35,4025.0
1980-04-01,1.93,81.700,9.62,3934.5
1980-07-01,2.25,83.233,9.15,3976.9
1980-10-01,2.49,85.567,13.61,4029.6
1981-01-01,2.47,87.933,14.39,4050.8
1981-04-01,2.57,89.767,14.91,4050.1
1981-07-01,2.47,92.267,15.05,4066.4
1981-10-01,2.42,93.767,11.75,4035.9
1982-01-01,2.26,94.600,12.81,4062.6
1982-04-01,2.27,95.967,12.42,4077.6
1982-07-01,2.28,97.633,9.32,4109.1
1982-10-01,2.80,97.933,7.91,4184.1
1983-01-01,3.09,98.000,8.11,4224.8
1983-04-01,3.49,99.133,8.40,4308.4
1983-07-01,3.59,100.100,9.14,4384.0
1983-10-01,3.58,101.100,8.80,4453.1
1984-01-01,3.46,102.533,9.17,4490.9
1984-04-01,3.36,103.500,9.80,4554.9
1984-07-01,3.49,104.400,10.32,4589.9
1984-10-01,3.63,105.300,8.80,4650.6
1985-01-01,3.96,106.267,8.18,4729.7
1985-04-01,4.19,107.233,7.46,4774.1
1985-07-01,4.33,107.900,7.11,4865.8
1985-10-01,4.53,109.000,7.17,4878.3
1986-01-01,5.13,109.567,6.90,4919.6
1986-04-01,5.67,109.033,6.14,4974.6
1986-07-01,5.67,109.700,5.52,5064.7
1986-10-01,5.71,110.467,5.35,5097.1
1987-01-01,6.57,111.800,5.54,5097.9
1987-04-01,6.87,113.067,5.66,5168.6
1987-07-01,7.45,114.267,6.04,5228.5
1987-10-01,5.97,115.333,5.86,5239.5
1988-01-01,6.15,116.233,5.72,5332.7
1988-04-01,6.39,117.567,6.21,5371.8
1988-07-01,6.55,119.000,7.01,5417.7
1988-10-01,6.74,120.300,7.73,5479.7
1989-01-01,7.20,121.667,8.54,5505.0
1989-04-01,7.84,123.633,8.41,5530.9
1989-07-01,8.57,124.600,7.84,5585.9
1989-10-01,8.67,125.867,7.65,5610.5
1990-01-01,8.44,128.033,7.76,5658.7
1990-04-01,8.76,129.300,7.75,5676.4
1990-07-01,8.41,131.533,7.48,5699.3
1990-10-01,7.88,133.767,6.99,5656.2
1991-01-01,8.96,134.767,6.02,5636.7
1991-04-01,9.80,135.567,5.56,5684.0
1991-07-01,10.07,136.600,5.38,5711.6
1991-10-01,10.30,137.733,4.54,5710.1
1992-01-01,11.19,138.667,3.89,5817.3
1992-04-01,11.04,139.733,3.68,5857.2
1992-07-01,11.25,140.800,3.08,5920.6
1992-10-01,11.63,142.033,3.07,5991.1
1993-01-01,12.36,143.067,2.96,6013.8
1993-04-01,12.50,144.100,2.97,6067.8
1993-07-01,12.94,144.767,3.00,6134.8
1993-10-01,13.36,145.967,3.06,6189.1
1994-01-01,13.63,146.700,3.24,6260.1
1994-04-01,13.11,147.533,3.99,6308.6
1994-07-01,13.43,148.900,4.48,6357.5
1994-10-01,13.47,149.767,5.28,6425.9
1995-01-01,14.10,150.867,5.74,6442.9
1995-04-01,15.39,152.100,5.60,6500.7
1995-07-01,16.88,152.867,5.37,6560.3
1995-10-01,17.82,153.700,5.26,6606.4
1996-01-01,18.99,155.067,4.93,6667.7
1996-04-01,20.03,156.400,5.02,6740.1
1996-07-01,19.91,157.300,5.10,6780.7
1996-10-01,21.78,158.667,4.98,6834.0
1997-01-01,23.39,159.633,5.06,6906.1
1997-04-01,24.31,160.000,5.05,6937.4
1997-07-01,27.82,160.800,5.05,7056.1
1997-10-01,28.78,161.667,5.09,7139.9
1998-01-01,30.78,162.000,5.05,7213.6
1998-04-01,33.28,162.533,4.98,7341.0
1998-07-01,31.93,163.367,4.82,7437.5
1998-10-01,32.62,164.133,4.25,7546.8
1999-01-01,36.85,164.733,4.41,7618.7
1999-04-01,39.05,165.967,4.45,7731.5
1999-07-01,39.43,167.200,4.65,7819.3
1999-10-01,40.97,168.433,5.04,7934.1
2000-01-01,44.35,170.100,5.52,8054.9
2000-04-01,43.66,171.433,5.71,8132.2
2000-07-01,45.05,173.000,6.02,8211.3
2000-10-01,41.31,174.233,6.02,8284.4
2001-01-01,38.39,175.900,4.82,8319.4
2001-04-01,37.36,177.133,3.66,8340.8
2001-07-01,35.15,177.633,3.17,8371.2
2001-10-01,34.03,177.500,1.91,8499.1
2002-01-01,35.07,178.067,1.72,8524.6
2002-04-01,33.68,179.467,1.72,8568.1
2002-07-01,28.30,180.433,1.64,8628.0
2002-10-01,28.08,181.500,1.33,8674.4
2003-01-01,27.46,183.367,1.16,8712.5
2003-04-01,30.22,183.067,1.04,8809.5
2003-07-01,32.81,184.433,0.93,8939.4
2003-10-01,35.07,185.133,0.92,9008.8
2004-01-01,37.85,186.700,0.92,9096.4
2004-04-01,37.64,188.167,1.08,9155.5
2004-07-01,37.05,189.367,1.49,9243.0
2004-10-01,39.56,191.400,2.01,9337.8
2005-01-01,40.86,192.367,2.54,9409.2
2005-04-01,40.79,193.667,2.86,9511.5
2005-07-01,42.92,196.600,3.36,9585.2
2005-10-01,43.39,198.433,3.83,9621.3
2006-01-01,45.81,199.467,4.39,9729.2
2006-04-01,46.03,201.267,4.70,9781.0
2006-07-01,46.05,203.167,4.91,9838.1
2006-10-01,50.00,202.333,4.90,9938.4
2007-01-01,51.86,204.317,4.98,9990.7
2007-04-01,54.68,206.631,4.74,10024.6
2007-07-01,54.48,207.939,4.30,10069.2
2007-10-01,55.05,210.490,3.39,10081.8
2008-01-01,49.87,212.770,2.04,10061.0
2008-04-01,51.19,215.538,1.63,10077.9
2008-07-01,47.26,218.861,1.49,10005.1
2008-10-01,34.04,213.849,0.30,9884.7
2009-01-01,30.63,212.378,0.21,9850.8
2009-04-01,34.44,213.507,0.17,9806.4
2009-07-01,38.82,215.344,0.16,9865.9
2009-10-01,42.61,217.030,0.06,9864.8
2010-01-01,44.59,217.374,0.11,9917.7
2010-04-01,45.58,217.297,0.15,9998.4
2010-07-01,44.22,217.934,0.16,10063.1
2010-10-01,49.27,219.699,0.14,10166.1
2011-01-01,53.65,222.032,0.13,10217.1
2011-04-01,54.56,224.590,0.05,10237.7
2011-07-01,50.69,226.059,0.02,10282.2
2011-10-01,50.67,227.038,0.01,10316.8
2012-01-01,56.25,228.303,0.07,10387.6
2012-04-01,56.28,228.861,0.09,10420.2
2012-07-01,58.52,229.866,0.10,10470.4
2012-10-01,59.66,231.369,0.09,10520.6
2013-01-01,64.63,232.164,0.09,10613.7
2013-04-01,68.97,232.082,0.05,10660.4
2013-07-01,72.64,233.389,0.03,10713.3
2013-10-01,77.27,234.213,0.06,10811.4
2014-01-01,80.96,235.425,0.05,10844.3
2014-04-01,83.51,236.846,0.03,10912.6
2014-07-01,87.00,237.544,0.03,10999.5
2014-10-01,88.33,237.035,0.02,11119.6
2015-01-01,91.51,235.201,0.03,11173.1
